driverId,lap,stop,time,duration
kobayashi,1,1,14:05:11,24.871
perez,7,1,14:14:14,23.592
maldonado,8,1,14:15:48,22.689
vettel,9,1,14:16:54,20.253
buemi,9,1,14:17:17,20.818
alonso,10,1,14:18:23,20.567
webber,10,1,14:18:27,20.881
michael_schumacher,10,1,14:18:43,20.084
hamilton,11,1,14:19:57,19.761
petrov,11,1,14:20:14,21.856
rosberg,11,1,14:20:17,20.647
massa,11,1,14:20:19,20.800
alguersuari,11,1,14:20:28,20.741
barrichello,11,1,14:20:48,29.936
sutil,13,1,14:23:57,20.773
button,14,1,14:24:51,20.015
karthikeyan,14,1,14:25:56,24.843
resta,15,1,14:26:40,20.070
trulli,15,1,14:26:50,22.364
kovalainen,16,1,14:28:30,21.019
liuzzi,16,1,14:28:55,23.157
glock,16,1,14:29:00,22.744
ambrosio,17,1,14:30:41,23.176
vettel,18,2,14:30:44,19.887
alonso,19,2,14:32:13,20.238
webber,19,2,14:32:16,20.079
maldonado,20,2,14:34:36,24.821
massa,21,2,14:35:51,21.635
heidfeld,21,1,14:36:21,21.322
hamilton,23,2,14:38:08,20.235
perez,1,1,14:05:24,21.864
webber,6,1,14:12:45,20.119
vettel,7,1,14:14:11,19.745
kobayashi,8,1,14:15:44,22.260
rosberg,9,1,14:17:10,20.502
button,9,1,14:17:14,20.333
resta,9,1,14:17:22,19.987
alonso,10,1,14:18:30,19.456
grosjean,10,1,14:18:42,20.223
michael_schumacher,10,1,14:18:44,20.113
vergne,10,1,14:18:52,20.388
massa,10,1,14:18:53,20.130
hulkenberg,10,1,14:18:56,20.521
petrov,10,1,14:19:03,24.856
rosa,10,1,14:19:19,22.275
maldonado,11,1,14:20:01,20.620
raikkonen,11,1,14:20:05,19.777
ricciardo,11,1,14:20:29,21.101
karthikeyan,11,1,14:20:59,21.518
kovalainen,13,1,14:23:37,21.290
hamilton,14,1,14:24:59,21.963
glock,14,1,14:25:27,21.082
pic,15,1,14:27:06,20.936
webber,17,2,14:29:54,24.864
perez,17,2,14:30:09,21.055
hulkenberg,19,2,14:32:55,20.558
rosa,19,2,14:33:43,22.135
rosberg,22,2,14:37:13,20.059
karthikeyan,22,2,14:38:37,22.515
resta,23,2,14:38:57,21.680
jules_bianchi,2,1,14:06:58,29.994
webber,7,1,14:14:27,19.668
massa,8,1,14:15:53,19.490
sutil,8,1,14:15:56,1:14.026
hulkenberg,8,1,14:15:59,19.993
maldonado,8,1,14:16:03,20.205
pic,8,1,14:16:15,20.734
alonso,9,1,14:17:21,18.909
hamilton,9,1,14:17:26,22.018
resta,9,1,14:17:29,20.615
vergne,9,1,14:17:33,19.772
garde,9,1,14:17:41,21.686
bottas,9,1,14:17:42,21.171
rosberg,10,1,14:18:50,19.414
vettel,10,1,14:18:51,18.606
raikkonen,10,1,14:18:53,19.978
perez,10,1,14:18:59,19.250
ricciardo,10,1,14:19:03,19.795
button,11,1,14:20:44,18.810
gutierrez,13,1,14:23:38,22.144
maldonado,13,2,14:23:55,13.266
chilton,15,1,14:27:24,25.294
jules_bianchi,16,2,14:28:59,20.656
resta,19,2,14:32:58,19.792
massa,20,2,14:34:12,19.373
webber,20,2,14:34:27,19.151
vergne,20,2,14:34:37,20.671
maldonado,20,3,14:34:52,23.139
garde,20,2,14:34:59,22.029
alonso,21,2,14:35:36,19.952
vettel,12,1,14:22:29,21.974
ricciardo,14,1,14:25:18,21.969
grosjean,15,1,14:26:57,22.126
massa,15,1,14:27:02,22.890
maldonado,15,1,14:27:21,27.851
alonso,16,1,14:28:34,21.970
vergne,16,1,14:28:57,22.976
raikkonen,17,1,14:30:07,22.056
hulkenberg,17,1,14:30:13,22.355
button,17,1,14:30:19,21.810
sutil,17,1,14:30:29,28.013
chilton,17,1,14:30:46,24.337
hamilton,18,1,14:31:07,22.951
perez,18,1,14:31:48,22.367
kvyat,18,1,14:31:51,22.703
gutierrez,18,1,14:32:02,23.063
ericsson,18,1,14:32:30,23.091
kevin_magnussen,19,1,14:33:31,21.894
