raceId,season,driverId,constructorId,number,grid,position,positionText,points,laps,time,milliseconds,fastestLap,rank,fastestLapSpeed,status,bestLap
14,2010,rosa,sauber,22,16,14,14,0,52,,,47,16,241.584,+1 Lap,1.26
14,2010,alguersuari,toro_rosso,17,15,15,15,0,52,,,51,15,243.995,+1 Lap,1.25
14,2010,sutil,force_india,14,11,16,16,0,52,,,51,10,245.532,+1 Lap,1.24
16,2010,alguersuari,toro_rosso,17,16,11,11,0,52,,,49,5,221.535,+1 Lap,1.34
16,2010,kovalainen,lotus_racing,19,20,12,12,0,52,,,51,14,214.148,+1 Lap,1.37
13,2011,maldonado,williams,12,14,11,11,0,52,,,51,12,234.497,+1 Lap,1.28
13,2011,barrichello,williams,11,13,12,12,0,52,,,49,11,235.975,+1 Lap,1.28
13,2012,kovalainen,caterham,20,17,14,14,0,52,,,46,19,233.277,+1 Lap,1.29
13,2012,petrov,caterham,21,18,15,15,0,52,,,46,15,234.149,+1 Lap,1.29
13,2012,pic,marussia,25,20,16,16,0,52,,,44,20,232.357,+1 Lap,1.29
13,2012,glock,marussia,24,19,17,17,0,52,,,50,21,232.008,+1 Lap,1.29
13,2012,rosa,hrt,22,23,18,18,0,52,,,51,22,230.699,+1 Lap,1.3
13,2012,karthikeyan,hrt,23,21,19,19,0,52,,,44,23,228.957,+1 Lap,1.31
15,2012,kovalainen,caterham,20,17,15,15,0,52,,,52,15,213.224,+1 Lap,1.38
15,2012,glock,marussia,24,18,16,16,0,52,,,48,18,211.685,+1 Lap,1.38
15,2012,petrov,caterham,21,22,17,17,0,52,,,47,17,212.572,+1 Lap,1.38
15,2012,rosa,hrt,22,20,18,18,0,52,,,50,20,210.417,+1 Lap,1.39
12,2013,sutil,force_india,15,17,16,16,0,52,,,38,14,238.564,+1 Lap,1.27
12,2013,pic,caterham,20,20,17,17,0,52,,,52,17,235.328,+1 Lap,1.28
12,2013,garde,caterham,21,19,18,18,0,52,,,52,18,235.214,+1 Lap,1.28
12,2013,jules_bianchi,marussia,22,21,19,19,0,52,,,47,20,232.767,+1 Lap,1.29
12,2013,chilton,marussia,23,22,20,20,0,52,,,48,19,233.037,+1 Lap,1.29
15,2013,vergne,toro_rosso,18,17,12,12,0,52,,,52,9,218,+1 Lap,1.35
15,2013,ricciardo,toro_rosso,19,16,13,13,0,52,,,52,3,220.008,+1 Lap,1.35
