driverId,cons,num,pos,postex,poi,grid,laps,tim,millis,fastl,rank
alonso,ferrari,8,1,1,25,3,49,1:39:20.396,5960396,45,1
massa,ferrari,7,2,2,18,2,49,+16.099,5976495,38,5
hamilton,mclaren,2,3,3,15,4,49,+23.182,5983578,42,4
vettel,red_bull,5,4,4,12,1,49,+38.799,5999195,32,12
rosberg,mercedes,4,5,5,10,5,49,+40.213,6000609,45,13
michael_schumacher,mercedes,3,6,6,8,7,49,+44.163,6004559,45,11
button,mclaren,1,7,7,6,8,49,+45.280,6005676,45,9
webber,red_bull,6,8,8,4,6,49,+46.360,6006756,45,3
liuzzi,force_india,15,9,9,2,12,49,+53.008,6013404,39,7
barrichello,williams,9,10,10,1,11,49,+1:02.489,6022885,47,6
kubica,renault,11,11,11,0,9,49,+1:09.093,6029489,33,14
sutil,force_india,14,12,12,0,10,49,+1:22.958,6043354,49,2
alguersuari,toro_rosso,17,13,13,0,18,49,+1:32.656,6053052,28,8
hulkenberg,williams,10,14,14,0,13,48,,,34,15
kovalainen,lotus_racing,19,15,15,0,21,47,,,47,17
buemi,toro_rosso,16,16,16,0,15,46,,,41,10
trulli,lotus_racing,18,17,17,0,20,46,,,34,18
rosa,sauber,22,18,R,0,14,28,,,27,16
bruno_senna,hrt,21,19,R,0,23,17,,,14,22
glock,virgin,24,20,R,0,19,16,,,11,21
petrov,renault,12,21,R,0,17,13,,,7,19
kobayashi,sauber,23,22,R,0,16,11,,,4,20
grassi,virgin,25,23,R,0,22,2,,,2,23
chandhok,hrt,20,24,R,0,24,1,,,,
button,mclaren,1,1,1,25,4,58,1:33:36.531,5616531,52,6
kubica,renault,11,2,2,18,9,58,+12.034,5628565,52,8
massa,ferrari,7,3,3,15,5,58,+14.488,5631019,52,7
alonso,ferrari,8,4,4,12,3,58,+16.304,5632835,47,10
rosberg,mercedes,4,5,5,10,6,58,+16.683,5633214,53,2
hamilton,mclaren,2,6,6,8,11,58,+29.898,5646429,47,3
vettel,red_bull,1,1,1,25,1,58,1:29:30.259,5370259,44,4
hamilton,mclaren,3,2,2,18,2,58,+22.297,5392556,41,8
petrov,renault,10,3,3,15,6,58,+30.560,5400819,55,7
alonso,ferrari,5,4,4,12,5,58,+31.772,5402031,49,2
webber,red_bull,2,5,5,10,3,58,+38.171,5408430,50,3
button,mclaren,4,6,6,8,4,58,+54.304,5424563,49,5
massa,ferrari,6,7,7,6,8,58,+1:25.186,5455445,55,1
buemi,toro_rosso,18,8,8,4,10,57,,,44,11
sutil,force_india,14,9,9,2,16,57,,,55,13
resta,force_india,15,10,10,1,14,57,,,40,14
alguersuari,toro_rosso,19,11,11,0,12,57,,,41,10
heidfeld,renault,9,12,12,0,18,57,,,43,15
trulli,lotus_racing,21,13,13,0,20,56,,,52,16
ambrosio,virgin,25,14,14,0,22,54,,,44,19
glock,virgin,24,15,N,0,21,49,,,48,22
barrichello,williams,11,16,R,0,17,48,,,47,12
rosberg,mercedes,8,17,R,0,7,22,,,21,17
kovalainen,lotus_racing,20,18,R,0,19,19,,,19,20
michael_schumacher,mercedes,7,19,R,0,11,19,,,13,21
maldonado,williams,12,20,R,0,15,9,,,7,18
kobayashi,sauber,16,21,D,0,9,58,,,51,9
perez,sauber,17,22,D,0,13,58,,,39,6
liuzzi,hrt,23,23,F,0,0,0,,,,
karthikeyan,hrt,22,24,F,0,0,0,,,,
vettel,red_bull,1,1,1,25,1,56,1:37:39.832,5859832,33,6
button,mclaren,4,2,2,18,4,56,+3.261,5863093,50,4
heidfeld,renault,9,3,3,15,6,56,+25.075,5884907,47,7
webber,red_bull,2,4,4,12,3,56,+26.384,5886216,46,1
massa,ferrari,6,5,5,10,7,56,+36.958,5896790,41,9
alonso,ferrari,5,6,6,8,5,56,+37.248,5897080,49,2
button,mclaren,3,1,1,25,2,58,1:34:09.565,5649565,56,1
vettel,red_bull,1,2,2,18,6,58,+2.139,5651704,57,2
hamilton,mclaren,4,3,3,15,1,58,+4.075,5653640,57,4
webber,red_bull,2,4,4,12,5,58,+4.547,5654112,57,3
alonso,ferrari,5,5,5,10,12,58,+21.565,5671130,52,7
kobayashi,sauber,14,6,6,8,13,58,+36.766,5686331,55,10
raikkonen,lotus_f1,9,7,7,6,17,58,+38.014,5687579,50,11
perez,sauber,15,8,8,4,22,58,+39.458,5689023,46,12
ricciardo,toro_rosso,16,9,9,2,10,58,+39.556,5689121,53,8
resta,force_india,11,10,10,1,15,58,+39.737,5689302,57,9
vergne,toro_rosso,17,11,11,0,11,58,+39.848,5689413,52,6
rosberg,mercedes,8,12,12,0,7,58,+57.642,5707207,53,14
maldonado,williams,18,13,13,0,8,57,,,53,5
glock,marussia,24,14,14,0,20,57,,,43,19
pic,marussia,25,15,15,0,21,53,,,45,20
bruno_senna,williams,19,16,16,0,14,52,,,49,13
massa,ferrari,6,17,R,0,16,46,,,46,15
kovalainen,caterham,20,18,R,0,18,38,,,26,17
petrov,caterham,21,19,R,0,19,34,,,27,16
michael_schumacher,mercedes,7,20,R,0,4,10,,,4,18
grosjean,lotus_f1,10,21,R,0,3,1,,,,
hulkenberg,force_india,12,22,R,0,9,0,,,,
rosa,hrt,22,23,F,0,0,0,,,,
karthikeyan,hrt,23,24,F,0,0,0,,,,
alonso,ferrari,5,1,1,25,8,56,2:44:51.812,9891812,53,7
perez,sauber,15,2,2,18,9,56,+2.263,9894075,54,3
hamilton,mclaren,4,3,3,15,1,56,+14.591,9906403,50,6
webber,red_bull,2,4,4,12,4,56,+17.688,9909500,52,2
raikkonen,lotus_f1,9,5,5,10,10,56,+29.456,9921268,53,1
bruno_senna,williams,19,6,6,8,13,56,+37.667,9929479,55,5
raikkonen,lotus_f1,7,1,1,25,7,58,1:30:03.225,5403225,56,1
alonso,ferrari,3,2,2,18,5,58,+12.451,5415676,53,3
vettel,red_bull,1,3,3,15,1,58,+22.346,5425571,42,10
