raceId,constructorId,points,position,positionText,wins
1,sauber,0,10,10,0
2,lotus_racing,0,10,10,0
3,lotus_racing,0,10,10,0
4,lotus_racing,0,10,10,0
5,lotus_racing,0,10,10,0
6,lotus_racing,0,10,10,0
7,lotus_racing,0,10,10,0
8,lotus_racing,0,10,10,0
9,lotus_racing,0,10,10,0
10,lotus_racing,0,10,10,0
11,lotus_racing,0,10,10,0
12,lotus_racing,0,10,10,0
13,lotus_racing,0,10,10,0
14,lotus_racing,0,10,10,0
15,lotus_racing,0,10,10,0
16,lotus_racing,0,10,10,0
17,lotus_racing,0,10,10,0
18,lotus_racing,0,10,10,0
19,lotus_racing,0,10,10,0
1,mercedes,0,10,10,0
2,virgin,0,10,10,0
3,williams,0,10,10,0
4,williams,0,10,10,0
5,lotus_racing,0,10,10,0
6,lotus_racing,0,10,10,0
7,lotus_racing,0,10,10,0
8,lotus_racing,0,10,10,0
9,lotus_racing,0,10,10,0
10,lotus_racing,0,10,10,0
11,lotus_racing,0,10,10,0
12,lotus_racing,0,10,10,0
13,lotus_racing,0,10,10,0
14,lotus_racing,0,10,10,0
15,lotus_racing,0,10,10,0
16,lotus_racing,0,10,10,0
17,lotus_racing,0,10,10,0
18,lotus_racing,0,10,10,0
19,lotus_racing,0,10,10,0
1,marussia,0,10,10,0
2,marussia,0,10,10,0
3,marussia,0,10,10,0
4,marussia,0,10,10,0
5,marussia,0,10,10,0
6,caterham,0,10,10,0
7,caterham,0,10,10,0
8,caterham,0,10,10,0
9,caterham,0,10,10,0
10,caterham,0,10,10,0
11,caterham,0,10,10,0
12,caterham,0,10,10,0
13,caterham,0,10,10,0
14,marussia,0,10,10,0
15,marussia,0,10,10,0
16,marussia,0,10,10,0
17,marussia,0,10,10,0
18,marussia,0,10,10,0
19,marussia,0,10,10,0
20,caterham,0,10,10,0
1,marussia,0,10,10,0
2,marussia,0,10,10,0
3,marussia,0,10,10,0
4,marussia,0,10,10,0
5,marussia,0,10,10,0
6,marussia,0,10,10,0
7,marussia,0,10,10,0
8,marussia,0,10,10,0
9,marussia,0,10,10,0
10,marussia,0,10,10,0
11,marussia,0,10,10,0
12,marussia,0,10,10,0
13,marussia,0,10,10,0
