season,round,driverId,points,position,wins
2012,1,button,25,1,1
2012,1,vettel,18,2,0
2012,1,hamilton,15,3,0
2012,1,webber,12,4,0
2012,1,alonso,10,5,0
2012,1,kobayashi,8,6,0
2012,1,raikkonen,6,7,0
2012,1,perez,4,8,0
2012,1,ricciardo,2,9,0
2012,1,resta,1,10,0
2012,1,vergne,0,11,0
2012,1,rosberg,0,12,0
2012,1,maldonado,0,13,0
2012,1,glock,0,14,0
2012,1,pic,0,15,0
2012,1,bruno_senna,0,16,0
2012,1,massa,0,17,0
2012,1,kovalainen,0,18,0
2012,1,petrov,0,19,0
2012,1,michael_schumacher,0,20,0
2012,1,grosjean,0,21,0
2012,1,hulkenberg,0,22,0
2012,1,rosa,0,23,0
2012,1,karthikeyan,0,24,0
2012,2,alonso,35,1,1
2012,2,hamilton,30,2,0
2012,2,button,25,3,1
2012,2,webber,24,4,0
2012,2,perez,22,5,0
2012,2,vettel,18,6,0
2012,2,raikkonen,16,7,0
2012,2,bruno_senna,8,8,0
2012,2,kobayashi,8,9,0
2012,2,resta,7,10,0
2012,2,vergne,4,11,0
2012,2,ricciardo,2,12,0
2012,2,hulkenberg,2,13,0
2012,2,michael_schumacher,1,14,0
2012,2,rosberg,0,15,0
2012,2,maldonado,0,16,0
2012,2,glock,0,17,0
2012,2,pic,0,18,0
2012,2,massa,0,19,0
2012,2,petrov,0,20,0
2012,2,kovalainen,0,21,0
2012,2,karthikeyan,0,22,0
2012,2,rosa,0,23,0
2012,2,grosjean,0,24,0
2012,3,hamilton,45,1,0
2012,3,button,43,2,1
2012,3,alonso,37,3,1
2012,3,webber,36,4,0
2012,3,vettel,28,5,0
2012,3,rosberg,25,6,1
2012,3,perez,22,7,0
2012,3,raikkonen,16,8,0
2012,3,bruno_senna,14,9,0
2012,3,kobayashi,9,10,0
2012,3,grosjean,8,11,0
2012,3,resta,7,12,0
2012,3,vergne,4,13,0
2012,3,maldonado,4,14,0
2012,3,ricciardo,2,15,0
2012,3,hulkenberg,2,16,0
2012,3,michael_schumacher,1,17,0
2012,3,massa,0,18,0
2012,3,glock,0,19,0
2012,3,pic,0,20,0
2012,3,petrov,0,21,0
2012,3,kovalainen,0,22,0
2012,3,rosa,0,23,0
2012,3,karthikeyan,0,24,0
2012,4,vettel,53,1,1
2012,4,hamilton,49,2,0
2012,4,webber,48,3,0
2012,4,button,43,4,1
2012,4,alonso,43,5,1
2012,4,rosberg,35,6,1
2012,4,raikkonen,34,7,0
2012,4,grosjean,23,8,0
2012,4,perez,22,9,0
2012,4,resta,15,10,0
2012,4,bruno_senna,14,11,0
2012,4,kobayashi,9,12,0
2012,4,vergne,4,13,0
2012,4,maldonado,4,14,0
2012,4,ricciardo,2,15,0
2012,4,hulkenberg,2,16,0
2012,4,massa,2,17,0
2012,4,michael_schumacher,2,18,0
2012,4,glock,0,19,0
2012,4,pic,0,20,0
2012,4,petrov,0,21,0
2012,4,kovalainen,0,22,0
2012,4,rosa,0,23,0
2012,4,karthikeyan,0,24,0
2012,5,vettel,61,1,1
2012,5,alonso,61,2,1
2012,5,hamilton,53,3,0
2012,5,raikkonen,49,4,0
2012,5,webber,48,5,0
2012,5,button,45,6,1
2012,5,rosberg,41,7,1
2012,5,grosjean,35,8,0
2012,5,maldonado,29,9,1
2012,5,perez,22,10,0
2012,5,kobayashi,19,11,0
2012,5,resta,15,12,0
2012,5,bruno_senna,14,13,0
2012,5,vergne,4,14,0
2012,5,hulkenberg,3,15,0
2012,5,ricciardo,2,16,0
2012,5,massa,2,17,0
2012,5,michael_schumacher,2,18,0
2012,5,glock,0,19,0
2012,5,pic,0,20,0
2012,5,petrov,0,21,0
2012,5,kovalainen,0,22,0
2012,5,rosa,0,23,0
2012,5,karthikeyan,0,24,0
2012,6,alonso,76,1,1
2012,6,vettel,73,2,1
2012,6,webber,73,3,1
2012,6,hamilton,63,4,0
2012,6,rosberg,59,5,1
2012,6,raikkonen,51,6,0
2012,6,button,45,7,1
2012,6,grosjean,35,8,0
2012,6,maldonado,29,9,1
2012,6,perez,22,10,0
2012,6,resta,21,11,0
2012,6,kobayashi,19,12,0
2012,6,bruno_senna,15,13,0
2012,6,massa,10,14,0
