driverId,url,givenName,familyName,dateOfBirth,nationality,,driverId,givenName,familyName,
alguersuari,http://en.wikipedia.org/wiki/Jaime_Alguersuari,Jaime,Alguersuari,23/03/1990,Spanish,,alguersuari,Jaime,Alguersuari,Jaime Alguersuari
alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Fernando,Alonso,29/07/1981,Spanish,,alonso,Fernando,Alonso,Fernando Alonso
barrichello,http://en.wikipedia.org/wiki/Rubens_Barrichello,Rubens,Barrichello,23/05/1972,Brazilian,,barrichello,Rubens,Barrichello,Rubens Barrichello
buemi,http://en.wikipedia.org/wiki/S%C3%A9bastien_Buemi,Sébastien,Buemi,31/10/1988,Swiss,,buemi,Sébastien,Buemi,Sébastien Buemi
button,http://en.wikipedia.org/wiki/Jenson_Button,Jenson,Button,19/01/1980,British,,button,Jenson,Button,Jenson Button
chandhok,http://en.wikipedia.org/wiki/Karun_Chandhok,Karun,Chandhok,19/01/1984,Indian,,chandhok,Karun,Chandhok,Karun Chandhok
rosa,http://en.wikipedia.org/wiki/Pedro_de_la_Rosa,Pedro,de la Rosa,24/02/1971,Spanish,,rosa,Pedro,de la Rosa,Pedro de la Rosa
grassi,http://en.wikipedia.org/wiki/Lucas_di_Grassi,Lucas,di Grassi,11/08/1984,Brazilian,,grassi,Lucas,di Grassi,Lucas di Grassi
glock,http://en.wikipedia.org/wiki/Timo_Glock,Timo,Glock,18/03/1982,German,,glock,Timo,Glock,Timo Glock
hamilton,http://en.wikipedia.org/wiki/Lewis_Hamilton,Lewis,Hamilton,07/01/1985,British,,hamilton,Lewis,Hamilton,Lewis Hamilton
heidfeld,http://en.wikipedia.org/wiki/Nick_Heidfeld,Nick,Heidfeld,10/05/1977,German,,heidfeld,Nick,Heidfeld,Nick Heidfeld
hulkenberg,http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg,Nico,Hülkenberg,19/08/1987,German,,hulkenberg,Nico,Hülkenberg,Nico Hülkenberg
klien,http://en.wikipedia.org/wiki/Christian_Klien,Christian,Klien,07/02/1983,Austrian,,klien,Christian,Klien,Christian Klien
kobayashi,http://en.wikipedia.org/wiki/Kamui_Kobayashi,Kamui,Kobayashi,13/09/1986,Japanese,,kobayashi,Kamui,Kobayashi,Kamui Kobayashi
kovalainen,http://en.wikipedia.org/wiki/Heikki_Kovalainen,Heikki,Kovalainen,19/10/1981,Finnish,,kovalainen,Heikki,Kovalainen,Heikki Kovalainen
kubica,http://en.wikipedia.org/wiki/Robert_Kubica,Robert,Kubica,07/12/1984,Polish,,kubica,Robert,Kubica,Robert Kubica
liuzzi,http://en.wikipedia.org/wiki/Vitantonio_Liuzzi,Vitantonio,Liuzzi,06/08/1980,Italian,,liuzzi,Vitantonio,Liuzzi,Vitantonio Liuzzi
massa,http://en.wikipedia.org/wiki/Felipe_Massa,Felipe,Massa,25/04/1981,Brazilian,,massa,Felipe,Massa,Felipe Massa
