number,position,driverId,constructorId,name,Q1,Q2,Q3,racesId,year
89,18,aitken,williams,Williams,00:54.9,,,16,2020
23,12,albon,toro_rosso,Toro Rosso,01:17.8,01:17.4,,5,2019
23,12,albon,toro_rosso,Toro Rosso,01:16.9,01:16.7,,12,2019
23,12,albon,red_bull,Red Bull,01:26.6,01:26.5,,4,2020
23,12,albon,red_bull,Red Bull,00:54.6,00:54.0,,16,2020
23,12,albon,williams,Williams,01:34.0,01:26.9,,9,2022
23,11,albon,toro_rosso,Toro Rosso,01:31.4,01:30.5,,8,2019
23,11,albon,williams,Williams,01:06.5,01:06.2,,11,2022
23,11,albon,williams,Williams,01:36.9,01:36.4,,19,2022
23,11,albon,williams,Williams,01:14.3,01:11.6,,21,2022
23,9,albon,toro_rosso,Toro Rosso,01:26.5,01:26.4,01:26.3,10,2019
23,9,albon,williams,Williams,01:45.7,01:45.7,01:45.8,14,2022
23,10,albon,toro_rosso,Toro Rosso,01:12.0,01:11.4,01:11.7,6,2019
23,6,albon,red_bull,Red Bull,01:39.1,01:37.9,01:37.4,15,2019
23,6,albon,red_bull,Red Bull,01:29.4,01:28.2,01:27.9,17,2019
23,5,albon,red_bull,Red Bull,01:16.2,01:16.6,01:15.3,18,2019
23,6,albon,red_bull,Red Bull,01:34.0,01:32.9,01:32.5,19,2019
23,6,albon,red_bull,Red Bull,01:08.5,01:08.1,01:07.9,20,2019
23,6,albon,red_bull,Red Bull,01:36.1,01:36.7,01:35.7,21,2019
23,5,albon,red_bull,Red Bull,01:04.7,01:03.7,01:03.9,1,2020
23,7,albon,red_bull,Red Bull,01:20.9,01:19.0,01:21.0,2,2020
23,9,albon,red_bull,Red Bull,01:27.2,01:26.6,01:26.7,5,2020
23,6,albon,red_bull,Red Bull,01:17.4,01:17.2,01:17.0,6,2020
23,5,albon,red_bull,Red Bull,01:43.4,01:42.2,01:42.3,7,2020
23,9,albon,red_bull,Red Bull,01:21.1,01:20.1,01:20.1,8,2020
23,4,albon,red_bull,Red Bull,01:16.5,01:15.9,01:16.0,9,2020
23,10,albon,red_bull,Red Bull,01:33.9,01:33.2,01:33.0,10,2020
23,5,albon,red_bull,Red Bull,01:27.1,01:26.3,01:26.0,11,2020
23,6,albon,red_bull,Red Bull,01:17.4,01:17.4,01:17.4,12,2020
23,6,albon,red_bull,Red Bull,01:15.4,01:14.7,01:14.6,13,2020
23,4,albon,red_bull,Red Bull,01:59.4,01:52.3,01:50.4,14,2020
23,4,albon,red_bull,Red Bull,01:28.7,01:28.7,01:28.3,15,2020
23,5,albon,red_bull,Red Bull,01:36.1,01:35.7,01:35.6,17,2020
23,12,albon,toro_rosso,Toro Rosso,01:29.5,01:29.5,,2,2019
23,18,albon,williams,Williams,01:31.3,,,5,2022
23,19,albon,red_bull,Red Bull,01:39.2,,,16,2019
23,19,albon,williams,Williams,01:21.6,,,6,2022
23,19,albon,williams,Williams,01:57.0,,,17,2022
23,19,albon,williams,Williams,01:20.9,,,20,2022
23,19,albon,williams,Williams,01:26.0,,,22,2022
23,20,albon,williams,Williams,,,,4,2022
23,17,albon,toro_rosso,Toro Rosso,01:13.5,,,11,2019
23,17,albon,williams,Williams,01:30.5,,,2,2022
23,17,albon,williams,Williams,01:44.7,,,8,2022
23,17,albon,williams,Williams,01:19.3,,,13,2022
23,16,albon,williams,Williams,01:20.1,,,3,2022
23,16,albon,williams,Williams,01:13.6,,,7,2022
